AddressID,street,city,state,zip,latitude,longitude,first_name,last_name,phone,email,bedroom,squarefootage,price
24,1412 Creek Street,Walnut Creek,CA,94596,37.9063,-122.0649,,,,,,,"$2,050.00"
25,1513 Hilltop Avenue,Richmond,CA,94801,37.9358,-122.3477,,,,,,,"$2,760.00"
26,1614 Valley Drive,Concord,CA,94521,37.9774,-122.0311,,,,,,,"$2,261.00"
27,1715 Garden Lane,Antioch,CA,94509,38.0049,-121.8058,,,,,,,"$1,900.00"
28,1816 River Road,Pittsburg,CA,94565,38.0279,-121.8847,,,,,,,"$2,850.00"
29,1917 Forest Street,Brentwood,CA,94513,37.9319,-121.6958,,,,,,,"$2,478.00"
30,2018 Lake Avenue,Martinez,CA,94553,38.0194,-122.1341,,,,,,,"$2,599.00"
31,2119 Meadow Lane,San Ramon,CA,94582,37.7799,-121.978,,,,,,,"$4,260.00"
32,2220 Park Road,Danville,CA,94526,37.8216,-121.9998,,,,,,,"$2,172.00"
33,2321 Grove Street,Lafayette,CA,94549,37.8858,-122.118,,,,,,,"$2,584.00"
34,2422 Ridge Road,Orinda,CA,94563,37.877,-122.1797,,,,,,,"$1,595.00"
35,2523 Shore Drive,Moraga,CA,94556,37.8349,-122.1297,,,,,,,"$2,125.00"
36,2624 Harbor Avenue,Hercules,CA,94547,38.0171,-122.2886,,,,,,,"$3,175.00"
37,2725 Summit Street,El Cerrito,CA,94530,37.9158,-122.3108,,,,,,,"$2,006.00"
38,2826 Vista Road,Albany,CA,94706,37.8869,-122.2977,,,,,,,"$2,557.00"
39,2927 Field Avenue,Emeryville,CA,94608,37.8313,-122.2852,,,,,,,"$2,445.00"
40,3028 Desert Lane,Pinole,CA,94564,38.0041,-122.2986,,,,,,,"$2,855.00"
41,3129 Cliff Road,San Pablo,CA,94806,37.9622,-122.3455,,,,,,,"$2,725.00"
42,3230 Woodland Street,Kensington,CA,94707,37.9106,-122.274,,,,,,,"$2,001.00"
43,3331 Mountain Avenue,Albany,CA,94706,37.8869,-122.2977,,,,,,,"$2,889.00"
44,3432 Island Road,Alameda,CA,94501,37.7652,-122.2416,,,,,,,"$2,681.00"
45,3533 Forest Lane,Piedmont,CA,94611,37.8244,-122.2316,,,,,,,"$1,448.00"
46,3634 Garden Road,Alameda,CA,94501,37.7652,-122.2416,,,,,,,"$1,642.00"
47,3735 Meadow Street,San Carlos,CA,94070,37.5072,-122.2605,,,,,,,$960.00
48,3836 Valley Avenue,Belmont,CA,94002,37.52,-122.2758,,,,,,,"$2,964.00"
49,3937 Pine Lane,Brisbane,CA,94005,37.6808,-122.3997,,,,,,,"$3,440.00"
50,4038 Redwood Road,South San Francisco,CA,94080,37.6547,-122.4077,,,,,,,"$3,256.00"
51,4139 Maple Drive,Millbrae,CA,94030,37.5985,-122.3871,,,,,,,"$2,717.00"
52,4240 Elm Street,Burlingame,CA,94010,37.5841,-122.3661,,,,,,,"$3,037.00"
53,4341 Cedar Avenue,San Bruno,CA,94066,37.6305,-122.4111,,,,,,,"$4,261.00"
54,4442 Oak Lane,Pacifica,CA,94044,37.6138,-122.4869,,,,,,,"$3,385.00"
55,4543 Spruce Road,Half Moon Bay,CA,94019,37.4636,-122.4286,,,,,,,"$2,600.00"
56,4644 Palm Drive,San Francisco,CA,94101,37.7749,-122.4194,,,,,,,"$2,675.00"
57,4745 Pine Lane,Oakland,CA,94607,37.8044,-122.2712,,,,,,,"$1,625.00"
58,4846 Cypress Street,Berkeley,CA,94704,37.8715,-122.273,,,,,,,"$3,400.00"
59,4947 Redwood Road,San Jose,CA,95112,37.3382,-121.8863,,,,,,,"$12,500.00"
60,5048 Maple Drive,Palo Alto,CA,94301,37.4419,-122.143,,,,,,,"$7,200.00"
61,5149 Elm Street,Daly City,CA,94014,37.6879,-122.4702,,,,,,,"$2,445.00"
62,5250 Oak Lane,Mountain View,CA,94040,37.3861,-122.0839,,,,,,,"$2,650.00"
63,5351 Birch Avenue,Sunnyvale,CA,94085,37.3688,-122.0363,,,,,,,"$4,198.00"
64,5452 Spruce Road,Santa Clara,CA,95050,37.3541,-121.9552,,,,,,,"$3,588.00"
65,5553 Redwood Road,Fremont,CA,94536,37.5483,-121.9886,,,,,,,"$2,455.00"
66,5654 Cypress Street,Hayward,CA,94541,37.6688,-122.0814,,,,,,,"$2,400.00"
67,5755 Fir Avenue,Alameda,CA,94501,37.7652,-122.2416,,,,,,,"$3,299.00"
68,5856 Poplar Drive,Redwood City,CA,94061,37.4852,-122.2364,,,,,,,"$2,125.00"
69,5957 Palm Lane,San Mateo,CA,94401,37.563,-122.3255,,,,,,,"$2,100.00"
70,6058 Alder Road,Burlingame,CA,94010,37.5841,-122.3661,,,,,,,"$1,845.00"
71,6159 Dogwood Street,Menlo Park,CA,94025,37.453,-122.1817,,,,,,,"$1,695.00"
72,6260 Hickory Avenue,Cupertino,CA,95014,37.3229,-122.0322,,,,,,,"$1,925.00"
73,6361 Magnolia Drive,Milpitas,CA,95035,37.4323,-121.8996,,,,,,,"$1,295.00"
74,6462 Chestnut Lane,Union City,CA,94587,37.5934,-122.0438,,,,,,,"$4,495.00"
75,6563 Acacia Court,Livermore,CA,94550,37.6819,-121.768,,,,,,,"$1,595.00"
76,6664 Juniper Road,Pleasanton,CA,94566,37.6624,-121.8747,,,,,,,"$2,695.00"
77,6765 Laurel Street,Dublin,CA,94568,37.7022,-121.9358,,,,,,,"$1,595.00"
78,6866 Bay Road,San Leandro,CA,94577,37.7249,-122.1561,,,,,,,"$3,895.00"
79,6967 Creek Street,Walnut Creek,CA,94596,37.9063,-122.0649,,,,,,,"$1,795.00"
80,7068 Hilltop Avenue,Richmond,CA,94801,37.9358,-122.3477,,,,,,,"$1,695.00"
81,7169 Valley Drive,Concord,CA,94521,37.9774,-122.0311,,,,,,,"$1,695.00"
82,7270 Garden Lane,Antioch,CA,94509,38.0049,-121.8058,,,,,,,"$2,650.00"
83,7371 River Road,Pittsburg,CA,94565,38.0279,-121.8847,,,,,,,"$1,495.00"
84,7472 Forest Street,Brentwood,CA,94513,37.9319,-121.6958,,,,,,,"$2,505.00"
85,7573 Lake Avenue,Martinez,CA,94553,38.0194,-122.1341,,,,,,,"$5,809.00"
86,7674 Meadow Lane,San Ramon,CA,94582,37.7799,-121.978,,,,,,,"$2,300.00"
87,7775 Park Road,Danville,CA,94526,37.8216,-121.9998,,,,,,,"$2,231.00"
88,7876 Grove Street,Lafayette,CA,94549,37.8858,-122.118,,,,,,,"$2,100.00"
89,7977 Ridge Road,Orinda,CA,94563,37.877,-122.1797,,,,,,,"$3,525.00"
90,8078 Shore Drive,Moraga,CA,94556,37.8349,-122.1297,,,,,,,"$1,995.00"
91,8179 Harbor Avenue,Hercules,CA,94547,38.0171,-122.2886,,,,,,,"$1,800.00"
92,8280 Summit Street,El Cerrito,CA,94530,37.9158,-122.3108,,,,,,,"$2,595.00"
93,8381 Vista Road,Albany,CA,94706,37.8869,-122.2977,,,,,,,"$3,319.00"
94,8482 Field Avenue,Emeryville,CA,94608,37.8313,-122.2852,,,,,,,"$1,898.00"
95,8583 Desert Lane,Pinole,CA,94564,38.0041,-122.2986,,,,,,,"$3,095.00"
96,8684 Cliff Road,San Pablo,CA,94806,37.9622,-122.3455,,,,,,,"$1,825.00"
97,8785 Woodland Street,Kensington,CA,94707,37.9106,-122.274,,,,,,,"$1,700.00"
98,8886 Mountain Avenue,Albany,CA,94706,37.8869,-122.2977,,,,,,,"$2,459.00"
99,8987 Island Road,Alameda,CA,94501,37.7652,-122.2416,,,,,,,"$3,041.00"
100,9088 Forest Lane,Piedmont,CA,94611,37.8244,-122.2316,,,,,,,"$2,050.00"
